[2026-05-25 03:12:35] [INFO    ] discord.client: logging in using static token
[2026-05-25 03:12:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-05-25 03:12:36] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-05-25 03:12:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1507344723134906378', 'username': "Vampire's Bot", 'avatar': None, 'discriminator': '6313', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-05-25 03:12:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-05-25 03:12:36] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-05-25 03:12:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1507344723134906378', 'name': "Vampire's Bot", 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1507344723134906378', 'username': "Vampire's Bot", 'avatar': None, 'discriminator': '6313', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f5cf60bc20cece63c2360f7f2de669badf819c7913f85e7428f85283029399d5', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '594437805430538320', 'username': 'mrvampire22', 'avatar': 'b56f0c36c7121ddf131e380d4ff37112', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 812238, 'global_name': 'MrVampire', 'avatar_decoration_data': {'asset': 'a_16c37062979f43db8074d72792890f50', 'sku_id': '1498719106642219108', 'expires_at': 1783666799}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#0c64ce', 'clan': {'identity_guild_id': '457888455700119552', 'identity_enabled': True, 'tag': 'cary', 'badge': '20900bf7e5ba496b08f11fb116cb299f'}, 'primary_guild': {'identity_guild_id': '457888455700119552', 'identity_enabled': True, 'tag': 'cary', 'badge': '20900bf7e5ba496b08f11fb116cb299f'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-05-25 03:12:37] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-05-25 03:12:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-3jdm",{"micros":0.0}]']}}
[2026-05-25 03:12:37] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-05-25 03:12:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
